<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140416,000000,19.545,19.801,19.322,19.595,13000
20140417,000000,19.620,19.706,19.484,19.603,9478
20140421,000000,19.581,19.697,19.226,19.422,12896
20140422,000000,19.390,19.516,19.288,19.370,11147
20140423,000000,19.385,19.533,19.371,19.410,9813
20140424,000000,19.422,19.899,18.928,19.600,15608
20140425,000000,19.615,19.795,19.503,19.680,14997
20140428,000000,19.631,19.736,19.475,19.525,11888
20140429,000000,19.548,19.588,19.300,19.410,11050
20140430,000000,19.451,19.468,19.035,19.141,15545
20140501,000000,19.145,19.230,18.792,18.997,12399
20140502,000000,18.991,19.665,18.908,19.465,17131
20140505,000000,19.451,19.712,19.449,19.560,13864
20140506,000000,19.575,19.687,19.477,19.530,11773
20140507,000000,19.542,19.734,19.267,19.277,14153
20140508,000000,19.277,19.370,19.104,19.166,12705
20140509,000000,19.171,19.295,19.025,19.109,11416
20140512,000000,19.130,19.640,19.024,19.488,13983
20140513,000000,19.485,19.585,19.339,19.503,12960
20140514,000000,19.500,19.971,19.483,19.732,13019
20140515,000000,19.732,19.812,19.404,19.455,15156
20140516,000000,19.468,19.509,19.241,19.345,13672
20140519,000000,19.337,19.664,19.290,19.313,10732
20140520,000000,19.313,19.437,19.219,19.365,12902
20140521,000000,19.370,19.479,19.259,19.360,12054
20140522,000000,19.377,19.800,19.339,19.450,11943
20140523,000000,19.465,19.504,19.277,19.434,9469
20140526,000000,19.419,19.479,19.362,19.424,5126
20140527,000000,19.414,19.429,19.018,19.032,13292
20140528,000000,19.053,19.146,18.964,19.015,11730
20140529,000000,19.020,19.085,18.779,19.010,12910
20140530,000000,19.025,19.073,18.620,18.790,12667
20140602,000000,18.782,18.866,18.651,18.727,8092
20140603,000000,18.740,18.918,18.716,18.781,8854
20140604,000000,18.770,18.876,18.730,18.768,8215
20140605,000000,18.743,19.127,18.687,19.024,9674
20140606,000000,18.973,19.189,18.871,19.003,10053
20140609,000000,19.017,19.183,18.978,19.025,5523
20140610,000000,19.035,19.236,18.965,19.160,6930
20140611,000000,19.165,19.325,19.139,19.160,6848
20140612,000000,19.165,19.553,19.148,19.485,8413
20140613,000000,19.495,19.714,19.470,19.662,8721
20140616,000000,19.661,19.866,19.563,19.635,9894
20140617,000000,19.640,19.760,19.446,19.749,18153
20140618,000000,19.730,19.896,19.652,19.883,30563
20140619,000000,19.865,20.906,19.816,20.695,42024
20140620,000000,20.715,20.961,20.563,20.844,39656
20140623,000000,20.844,20.919,20.717,20.863,28029
20140624,000000,20.840,21.137,20.783,20.896,27975
20140625,000000,20.870,21.143,20.687,20.980,30843
20140626,000000,20.975,21.103,20.779,21.075,26745
20140627,000000,21.065,21.183,20.908,20.941,24974
20140630,000000,20.929,21.098,20.749,20.998,25021
20140701,000000,20.994,21.203,20.955,21.000,22511
20140702,000000,21.005,21.267,20.897,21.140,19456
20140703,000000,21.144,21.152,20.772,21.114,22801
20140704,000000,21.116,21.211,21.059,21.120,10047
20140707,000000,21.083,21.138,20.804,21.037,18447
20140708,000000,21.010,21.173,20.890,21.018,18931
20140709,000000,21.020,21.210,20.976,21.065,24349
20140710,000000,21.025,21.554,21.020,21.365,31501
20140711,000000,21.365,21.482,21.338,21.405,17751
20140714,000000,21.371,21.445,20.832,20.895,27946
20140715,000000,20.905,21.053,20.644,20.671,25290
20140716,000000,20.683,20.808,20.561,20.753,26282
20140717,000000,20.750,21.222,20.691,21.095,23797
20140718,000000,21.095,21.236,20.711,20.840,20443
20140721,000000,20.839,21.089,20.785,20.899,17971
20140722,000000,20.896,21.050,20.720,20.920,21717
20140723,000000,20.943,21.034,20.860,20.865,13363
20140724,000000,20.878,20.900,20.289,20.364,28853
20140725,000000,20.340,20.743,20.291,20.712,20980
20140728,000000,20.671,20.714,20.491,20.550,9307
20140729,000000,20.530,20.784,20.446,20.540,15182
20140730,000000,20.547,20.700,20.438,20.592,19736
20140731,000000,20.591,20.715,20.317,20.366,20190
20140801,000000,20.367,20.530,20.240,20.305,19667
20140804,000000,20.285,20.437,20.119,20.124,13888
